"Plot Title: 110 Meter"
"#","Date Time, GMT-07:00","Temp, C","Bad Battery","Stopped","End Of File"
131,05/06/10 04:54:10 AM,4.220,,,
132,05/06/10 04:54:35 AM,20.103,,,
133,05/06/10 04:55:00 AM,27.038,,,
134,05/06/10 04:55:25 AM,51.207,,,
135,05/06/10 04:55:50 AM,-5.791,,,
136,05/06/10 04:56:15 AM,8.319,,,
137,05/06/10 04:56:40 AM,41.414,,,
138,05/06/10 04:57:05 AM,3.248,,,
139,05/06/10 04:57:30 AM,5.050,,,
140,05/06/10 04:57:55 AM,20.865,,,
141,05/06/10 04:58:20 AM,27.038,,,
142,05/06/10 04:58:45 AM,61.271,,,
143,05/06/10 04:59:10 AM,8.245,,,
144,05/06/10 04:59:35 AM,8.369,,,
145,05/06/10 05:00:00 AM,41.502,,,
146,05/06/10 05:00:25 AM,3.248,,,
147,05/06/10 05:00:50 AM,5.462,,,
148,05/06/10 05:01:15 AM,21.628,,,
149,05/06/10 05:01:40 AM,27.038,,,
150,05/06/10 05:02:05 AM,95.816,,,
151,05/06/10 05:02:30 AM,20.579,,,
152,05/06/10 05:02:55 AM,8.394,,,
153,05/06/10 05:03:20 AM,41.560,,,
154,05/06/10 05:03:45 AM,3.248,,,
155,05/06/10 05:04:10 AM,6.281,,,
156,05/06/10 05:04:35 AM,23.160,,,
157,05/06/10 05:05:00 AM,27.038,,,
158,05/06/10 05:05:25 AM,152.982,,,
159,05/06/10 05:05:50 AM,47.974,,,
160,05/06/10 05:06:15 AM,8.419,,,
161,05/06/10 05:06:40 AM,41.619,,,
162,05/06/10 05:07:05 AM,3.248,,,
163,05/06/10 05:07:30 AM,6.281,,,
164,05/06/10 05:07:55 AM,23.930,,,
165,05/06/10 05:08:20 AM,27.063,,,
166,05/06/10 05:08:45 AM,-39.634,,,
167,05/06/10 05:09:10 AM,69.137,,,
168,05/06/10 05:09:35 AM,8.469,,,
169,05/06/10 05:10:00 AM,41.678,,,
170,05/06/10 05:10:25 AM,3.248,,,
171,05/06/10 05:10:50 AM,7.091,,,
172,05/06/10 05:11:15 AM,24.315,,,
173,05/06/10 05:11:40 AM,27.063,,,
174,05/06/10 05:12:05 AM,-21.816,,,
