sensor,mT,bT,mRH,bRH
795,0.945188031668,0.79237403742,0.988602999502,0.976830678419
796,0.951412134015,0.768311753432,0.996681748853,0.185401485607
797,0.952897613272,0.781252072566,1.00322809692,-0.445434724902
798,0.944754113564,0.677285996366,0.993275025471,0.446741943428
799,0.942103349573,0.699426862506,0.97614855735,1.50705059485
800,0.949315314518,0.698814827397,0.996982810535,0.227687842726
803,0.946137117644,0.718045661277,-1.48225130057e+12,1.48225130066e+12
804,0.950434924866,0.752908608215,0.991091292203,1.09641135522
807,0.953249038286,0.718006277629,1.02286627691,-2.59136902105
808,0.946681329497,0.659825714738,0.966685150742,3.32648938965
809,0.942357840904,0.701170138941,0.959068947953,4.23030659153
810,0.956528147782,0.656049235951,0.995428764769,0.482076769045
