"Plot Title: 2373808"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,02/06/12 12:48:04 PM,14.577,41.398,3.49,Logged,,,
2,02/06/12 01:18:04 PM,15.342,36.643,3.51,,,,
3,02/06/12 01:48:04 PM,15.724,38.069,3.51,,,,
4,02/06/12 02:18:04 PM,16.249,35.080,3.51,,,,
5,02/06/12 02:48:04 PM,16.558,30.553,3.51,,,,
6,02/06/12 03:18:04 PM,16.439,29.585,3.51,,,,
7,02/06/12 03:48:04 PM,16.463,31.435,3.51,,,,
8,02/06/12 04:18:04 PM,16.129,31.274,3.51,,,,
9,02/06/12 04:48:04 PM,15.247,33.877,3.51,,,,
10,02/06/12 05:18:04 PM,14.361,34.767,3.51,,,,
11,02/06/12 05:48:04 PM,13.978,35.861,3.51,,,,
12,02/06/12 06:18:04 PM,13.882,35.400,3.51,,,,
13,02/06/12 06:48:04 PM,13.401,36.993,3.51,,,,
14,02/06/12 07:18:04 PM,13.112,34.905,3.49,,,,
15,02/06/12 07:48:04 PM,13.112,37.765,3.49,,,,
16,02/06/12 08:18:04 PM,13.161,36.295,3.49,,,,
17,02/06/12 08:48:04 PM,12.847,37.705,3.49,,,,
18,02/06/12 09:18:04 PM,12.968,35.568,3.49,,,,
19,02/06/12 09:48:04 PM,13.233,34.271,3.49,,,,
20,02/06/12 10:18:04 PM,13.401,34.933,3.51,,,,
21,02/06/12 10:48:04 PM,13.834,32.607,3.51,,,,
22,02/06/12 11:18:04 PM,13.257,37.780,3.49,,,,
23,02/06/12 11:48:04 PM,13.473,40.544,3.49,,,,
24,02/07/12 12:18:04 AM,13.112,40.091,3.49,,,,
25,02/07/12 12:48:04 AM,12.654,40.674,3.49,,,,
26,02/07/12 01:18:04 AM,11.904,45.418,3.49,,,,
27,02/07/12 01:48:04 AM,11.516,50.331,3.49,,,,
28,02/07/12 02:18:04 AM,10.296,68.948,3.49,,,,
29,02/07/12 02:48:04 AM,9.213,78.521,3.47,,,,
30,02/07/12 03:18:04 AM,9.188,83.602,3.47,,,,
31,02/07/12 03:48:04 AM,8.866,89.609,3.47,,,,
32,02/07/12 04:18:04 AM,8.145,93.917,3.47,,,,
33,02/07/12 04:48:04 AM,7.895,95.533,3.47,,,,
34,02/07/12 05:18:04 AM,7.619,98.530,3.45,,,,
35,02/07/12 05:48:04 AM,7.519,99.970,3.45,,,,
36,02/07/12 06:18:04 AM,7.469,100.000,3.45,,,,
37,02/07/12 06:48:04 AM,7.419,100.000,3.45,,,,
38,02/07/12 07:18:04 AM,7.368,100.000,3.45,,,,
39,02/07/12 07:48:04 AM,7.343,100.000,3.45,,,,
40,02/07/12 08:18:04 AM,7.217,100.000,3.45,,,,
41,02/07/12 08:48:04 AM,7.192,100.000,3.45,,,,
42,02/07/12 09:18:04 AM,7.116,100.000,3.45,,,,
43,02/07/12 09:48:04 AM,7.066,100.000,3.45,,,,
44,02/07/12 10:18:04 AM,7.116,100.000,3.45,,,,
45,02/07/12 10:48:04 AM,7.167,100.000,3.45,,,,
46,02/07/12 11:18:04 AM,7.293,100.000,3.45,,,,
47,02/07/12 11:48:04 AM,7.368,100.000,3.45,,,,
48,02/07/12 12:18:04 PM,7.469,100.000,3.45,,,,
49,02/07/12 12:48:04 PM,7.569,100.000,3.45,,,,
50,02/07/12 01:18:04 PM,7.419,100.000,3.45,,,,
51,02/07/12 01:48:04 PM,7.469,100.000,3.45,,,,
52,02/07/12 01:54:15 PM,,,,,Logged,,
53,02/07/12 01:54:18 PM,,,,,,Logged,Logged
