"Plot Title: 2373810"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","End Of File"
1,05/09/11 02:13:53 PM,15.652,43.171,3.36,Logged,,
2,05/09/11 02:18:43 PM,,,,,Logged,Logged
