"Plot Title: 2373796"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","End Of File"
1,05/09/11 02:15:49 PM,15.891,44.874,3.47,Logged,,
2,05/09/11 02:16:57 PM,,,,,Logged,Logged
