"Plot Title: 2373796"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","End Of File"
1,09/15/12 01:45:49 PM,26.842,21.248,3.38,Logged,,
2,09/15/12 02:15:49 PM,27.063,19.868,3.38,,,
3,09/15/12 02:45:49 PM,27.284,21.206,3.38,,,
4,09/15/12 03:01:36 PM,,,,,Logged,Logged
